input_movie,input_genres,input_url,recommended_movie,recommended_url,recommended_genres,similarity_score
Kate & Leopold,Comedy|Fantasy|Romance,https://www.imdb.com/title/tt0035423/,Midnight in Paris,https://www.imdb.com/title/tt1605783/,Comedy|Fantasy|Romance,0.532
Kate & Leopold,Comedy|Fantasy|Romance,https://www.imdb.com/title/tt0035423/,What Women Want,https://www.imdb.com/title/tt0207201/,Comedy|Fantasy|Romance,0.514
Kate & Leopold,Comedy|Fantasy|Romance,https://www.imdb.com/title/tt0035423/,Splash,https://www.imdb.com/title/tt0088161/,Comedy|Fantasy|Romance,0.496
Kate & Leopold,Comedy|Fantasy|Romance,https://www.imdb.com/title/tt0035423/,Teen Wolf,https://www.imdb.com/title/tt0090142/,Comedy|Fantasy|Romance,0.494
Kate & Leopold,Comedy|Fantasy|Romance,https://www.imdb.com/title/tt0035423/,Penelope,https://www.imdb.com/title/tt0472160/,Comedy|Fantasy|Romance,0.493
Ko to tamo peva,Adventure|Comedy|Drama,https://www.imdb.com/title/tt0076276/,The Bucket List,https://www.imdb.com/title/tt0825232/,Adventure|Comedy|Drama,0.557
Ko to tamo peva,Adventure|Comedy|Drama,https://www.imdb.com/title/tt0076276/,Seeking a Friend for the End of the World,https://www.imdb.com/title/tt1307068/,Adventure|Comedy|Drama,0.53
Ko to tamo peva,Adventure|Comedy|Drama,https://www.imdb.com/title/tt0076276/,"Montevideo, Bog te video!",https://www.imdb.com/title/tt1634013/,Adventure|Comedy|Drama,0.523
Ko to tamo peva,Adventure|Comedy|Drama,https://www.imdb.com/title/tt0076276/,Mrtav 'ladan,https://www.imdb.com/title/tt0301634/,Comedy|Drama,0.49
Ko to tamo peva,Adventure|Comedy|Drama,https://www.imdb.com/title/tt0076276/,The Darjeeling Limited,https://www.imdb.com/title/tt0838221/,Adventure|Comedy|Drama,0.477
Cannibal Holocaust,Adventure|Horror,https://www.imdb.com/title/tt0078935/,Cannibal ferox,https://www.imdb.com/title/tt0082700/,Adventure|Horror,0.501
Cannibal Holocaust,Adventure|Horror,https://www.imdb.com/title/tt0078935/,Planet Dune,https://www.imdb.com/title/tt15331462/,Adventure|Horror|Sci-Fi,0.435
Cannibal Holocaust,Adventure|Horror,https://www.imdb.com/title/tt0078935/,Galaxy of Terror,https://www.imdb.com/title/tt0082431/,Action|Adventure|Horror,0.419
Cannibal Holocaust,Adventure|Horror,https://www.imdb.com/title/tt0078935/,Extinction,https://www.imdb.com/title/tt3033080/,Action|Adventure|Horror,0.418
Cannibal Holocaust,Adventure|Horror,https://www.imdb.com/title/tt0078935/,The Meg,https://www.imdb.com/title/tt4779682/,Action|Adventure|Horror,0.414
Saturn 3,Adventure|Horror|Sci-Fi,https://www.imdb.com/title/tt0079285/,Assassinaut,https://www.imdb.com/title/tt5300154/,Adventure|Horror|Sci-Fi,0.558
Saturn 3,Adventure|Horror|Sci-Fi,https://www.imdb.com/title/tt0079285/,Lumina,https://www.imdb.com/title/tt5636228/,Adventure|Horror|Sci-Fi,0.556
Saturn 3,Adventure|Horror|Sci-Fi,https://www.imdb.com/title/tt0079285/,Planet Dune,https://www.imdb.com/title/tt15331462/,Adventure|Horror|Sci-Fi,0.506
Saturn 3,Adventure|Horror|Sci-Fi,https://www.imdb.com/title/tt0079285/,The Curse of the Komodo,https://www.imdb.com/title/tt0346811/,Adventure|Horror|Sci-Fi,0.504
Saturn 3,Adventure|Horror|Sci-Fi,https://www.imdb.com/title/tt0079285/,Dead Sunrise,https://www.imdb.com/title/tt5944812/,Adventure|Horror|Sci-Fi,0.492
Moskva slezam ne verit,Comedy|Drama|Romance,https://www.imdb.com/title/tt0079579/,Tootsie,https://www.imdb.com/title/tt0084805/,Comedy|Drama|Romance,0.53
Moskva slezam ne verit,Comedy|Drama|Romance,https://www.imdb.com/title/tt0079579/,Bommarillu,https://www.imdb.com/title/tt0843326/,Comedy|Drama|Romance,0.527
Moskva slezam ne verit,Comedy|Drama|Romance,https://www.imdb.com/title/tt0079579/,About a Boy,https://www.imdb.com/title/tt0276751/,Comedy|Drama|Romance,0.523
Moskva slezam ne verit,Comedy|Drama|Romance,https://www.imdb.com/title/tt0079579/,Mystic Pizza,https://www.imdb.com/title/tt0095690/,Comedy|Drama|Romance,0.521
Moskva slezam ne verit,Comedy|Drama|Romance,https://www.imdb.com/title/tt0079579/,Moscow on the Hudson,https://www.imdb.com/title/tt0087747/,Comedy|Drama|Romance,0.52
Sankarabharanam,Drama|Music|Romance,https://www.imdb.com/title/tt0079889/,Crazy Heart,https://www.imdb.com/title/tt1263670/,Drama|Music|Romance,0.568
Sankarabharanam,Drama|Music|Romance,https://www.imdb.com/title/tt0079889/,Glitter,https://www.imdb.com/title/tt0118589/,Drama|Music|Romance,0.545
Sankarabharanam,Drama|Music|Romance,https://www.imdb.com/title/tt0079889/,La pianiste,https://www.imdb.com/title/tt0254686/,Drama|Music|Romance,0.545
Sankarabharanam,Drama|Music|Romance,https://www.imdb.com/title/tt0079889/,Rudra Veena,https://www.imdb.com/title/tt0155124/,Drama|Music,0.545
Sankarabharanam,Drama|Music|Romance,https://www.imdb.com/title/tt0079889/,Footloose,https://www.imdb.com/title/tt0087277/,Drama|Music|Romance,0.531
'Breaker' Morant,Drama|History|War,https://www.imdb.com/title/tt0080310/,The Water Diviner,https://www.imdb.com/title/tt3007512/,Drama|History|War,0.557
'Breaker' Morant,Drama|History|War,https://www.imdb.com/title/tt0080310/,Khan Asparuh,https://www.imdb.com/title/tt0275942/,Drama|History|War,0.548
'Breaker' Morant,Drama|History|War,https://www.imdb.com/title/tt0080310/,Im Westen nichts Neues,https://www.imdb.com/title/tt1016150/,Drama|History|War,0.545
'Breaker' Morant,Drama|History|War,https://www.imdb.com/title/tt0080310/,Lepa sela lepo gore,https://www.imdb.com/title/tt0116860/,Drama|History|War,0.541
'Breaker' Morant,Drama|History|War,https://www.imdb.com/title/tt0080310/,The Zone of Interest,https://www.imdb.com/title/tt7160372/,Drama|History|War,0.521
Nine to Five,Comedy,https://www.imdb.com/title/tt0080319/,Polyester,https://www.imdb.com/title/tt0082926/,Comedy,0.412
Nine to Five,Comedy,https://www.imdb.com/title/tt0080319/,Hollywood Sex Wars,https://www.imdb.com/title/tt1764366/,Comedy,0.388
Nine to Five,Comedy,https://www.imdb.com/title/tt0080319/,All Babes Want to Kill Me,https://www.imdb.com/title/tt0300922/,Comedy|Romance,0.377
Nine to Five,Comedy,https://www.imdb.com/title/tt0080319/,Without Men,https://www.imdb.com/title/tt1547090/,Comedy,0.368
Nine to Five,Comedy,https://www.imdb.com/title/tt0080319/,Ashi Hi Banwa Banwi,https://www.imdb.com/title/tt0267277/,Comedy,0.343
AC/DC: Let There Be Rock,Documentary|Music,https://www.imdb.com/title/tt0080321/,Varázslat - A Queen Budapesten,https://www.imdb.com/title/tt0093427/,Documentary|Music,0.589
AC/DC: Let There Be Rock,Documentary|Music,https://www.imdb.com/title/tt0080321/,The Beatles: Get Back - The Rooftop Concert,https://www.imdb.com/title/tt16899584/,Documentary|Music,0.587
AC/DC: Let There Be Rock,Documentary|Music,https://www.imdb.com/title/tt0080321/,Stop Making Sense,https://www.imdb.com/title/tt0088178/,Documentary|Music,0.572
AC/DC: Let There Be Rock,Documentary|Music,https://www.imdb.com/title/tt0080321/,Rite Here Rite Now,https://www.imdb.com/title/tt32260498/,Documentary|Music,0.57
AC/DC: Let There Be Rock,Documentary|Music,https://www.imdb.com/title/tt0080321/,Amazing Journey: The Story of The Who,https://www.imdb.com/title/tt0462441/,Documentary|Music,0.56
Airplane!,Comedy,https://www.imdb.com/title/tt0080339/,Tanpopo,https://www.imdb.com/title/tt0092048/,Comedy,0.404
Airplane!,Comedy,https://www.imdb.com/title/tt0080339/,Airplane Mode,https://www.imdb.com/title/tt5617916/,Comedy,0.343
Airplane!,Comedy,https://www.imdb.com/title/tt0080339/,Clerks II,https://www.imdb.com/title/tt0424345/,Comedy,0.331
Airplane!,Comedy,https://www.imdb.com/title/tt0080339/,Ekhrajiha 2,https://www.imdb.com/title/tt1431240/,Action|Comedy|Drama,0.323
Airplane!,Comedy,https://www.imdb.com/title/tt0080339/,American Made,https://www.imdb.com/title/tt3532216/,Action|Comedy|Crime,0.313
Alligator,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080354/,Lost Time,https://www.imdb.com/title/tt2564978/,Horror|Sci-Fi|Thriller,0.525
Alligator,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080354/,Land of the Dead,https://www.imdb.com/title/tt0418819/,Horror|Sci-Fi|Thriller,0.507
Alligator,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080354/,Dying God,https://www.imdb.com/title/tt1056467/,Horror|Sci-Fi|Thriller,0.503
Alligator,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080354/,The Changed,https://www.imdb.com/title/tt10165918/,Horror|Sci-Fi|Thriller,0.498
Alligator,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080354/,Alien Abduction,https://www.imdb.com/title/tt0426396/,Horror|Sci-Fi|Thriller,0.497
Altered States,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080360/,The Dæmon,https://www.imdb.com/title/tt23002208/,Horror|Sci-Fi|Thriller,0.515
Altered States,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080360/,Scanners,https://www.imdb.com/title/tt0081455/,Horror|Sci-Fi|Thriller,0.509
Altered States,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080360/,The Rift: Dark Side of the Moon,https://www.imdb.com/title/tt4509840/,Horror|Sci-Fi|Thriller,0.505
Altered States,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080360/,The Blob,https://www.imdb.com/title/tt0094761/,Horror|Sci-Fi|Thriller,0.495
Altered States,Horror|Sci-Fi|Thriller,https://www.imdb.com/title/tt0080360/,Dark Skies,https://www.imdb.com/title/tt2387433/,Horror|Sci-Fi|Thriller,0.493
American Gigolo,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080365/,The Little Things,https://www.imdb.com/title/tt10016180/,Crime|Drama|Mystery,0.543
American Gigolo,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080365/,L.A. Confidential,https://www.imdb.com/title/tt0119488/,Crime|Drama|Mystery,0.535
American Gigolo,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080365/,Evil Under the Sun,https://www.imdb.com/title/tt0083908/,Crime|Drama|Mystery,0.517
American Gigolo,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080365/,Drishyam 2,https://www.imdb.com/title/tt15501640/,Crime|Drama|Mystery,0.517
American Gigolo,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080365/,Thadam,https://www.imdb.com/title/tt7822438/,Crime|Drama|Mystery,0.506
Any Which Way You Can,Action|Comedy,https://www.imdb.com/title/tt0080377/,Bronco Billy,https://www.imdb.com/title/tt0080472/,Action|Adventure|Comedy,0.53
Any Which Way You Can,Action|Comedy,https://www.imdb.com/title/tt0080377/,City Heat,https://www.imdb.com/title/tt0087062/,Action|Comedy|Crime,0.469
Any Which Way You Can,Action|Comedy,https://www.imdb.com/title/tt0080377/,Smokin' Aces,https://www.imdb.com/title/tt0475394/,Action|Comedy|Crime,0.408
Any Which Way You Can,Action|Comedy,https://www.imdb.com/title/tt0080377/,Altrimenti ci arrabbiamo,https://www.imdb.com/title/tt14845950/,Action|Comedy,0.389
Any Which Way You Can,Action|Comedy,https://www.imdb.com/title/tt0080377/,Showtime,https://www.imdb.com/title/tt0284490/,Action|Comedy|Crime,0.388
Atlantic City,Crime|Drama|Romance,https://www.imdb.com/title/tt0080388/,Wonggok Kaamun,https://www.imdb.com/title/tt0096461/,Crime|Drama|Romance,0.49
Atlantic City,Crime|Drama|Romance,https://www.imdb.com/title/tt0080388/,Warning!!! Pedophile Released,https://www.imdb.com/title/tt1388359/,Crime|Drama|Romance,0.487
Atlantic City,Crime|Drama|Romance,https://www.imdb.com/title/tt0080388/,The Postman Always Rings Twice,https://www.imdb.com/title/tt0082934/,Crime|Drama|Romance,0.482
Atlantic City,Crime|Drama|Romance,https://www.imdb.com/title/tt0080388/,Mona Lisa,https://www.imdb.com/title/tt0091538/,Crime|Drama|Romance,0.481
Atlantic City,Crime|Drama|Romance,https://www.imdb.com/title/tt0080388/,Mauvais sang,https://www.imdb.com/title/tt0091497/,Crime|Drama|Romance,0.472
Bad Timing,Drama|Mystery|Thriller,https://www.imdb.com/title/tt0080408/,Enemy,https://www.imdb.com/title/tt2316411/,Drama|Mystery|Thriller,0.509
Bad Timing,Drama|Mystery|Thriller,https://www.imdb.com/title/tt0080408/,Chloe,https://www.imdb.com/title/tt1352824/,Drama|Mystery|Thriller,0.504
Bad Timing,Drama|Mystery|Thriller,https://www.imdb.com/title/tt0080408/,Jagged Edge,https://www.imdb.com/title/tt0089360/,Drama|Mystery|Thriller,0.499
Bad Timing,Drama|Mystery|Thriller,https://www.imdb.com/title/tt0080408/,Caché,https://www.imdb.com/title/tt0387898/,Drama|Mystery|Thriller,0.499
Bad Timing,Drama|Mystery|Thriller,https://www.imdb.com/title/tt0080408/,Before I Go to Sleep,https://www.imdb.com/title/tt1726592/,Drama|Mystery|Thriller,0.492
Battle Beyond the Stars,Action|Adventure|Sci-Fi,https://www.imdb.com/title/tt0080421/,Star Trek III: The Search for Spock,https://www.imdb.com/title/tt0088170/,Action|Adventure|Sci-Fi,0.566
Battle Beyond the Stars,Action|Adventure|Sci-Fi,https://www.imdb.com/title/tt0080421/,Flash Gordon,https://www.imdb.com/title/tt0080745/,Action|Adventure|Sci-Fi,0.545
Battle Beyond the Stars,Action|Adventure|Sci-Fi,https://www.imdb.com/title/tt0080421/,The Chronicles of Riddick,https://www.imdb.com/title/tt0296572/,Action|Adventure|Sci-Fi,0.534
Battle Beyond the Stars,Action|Adventure|Sci-Fi,https://www.imdb.com/title/tt0080421/,Riddick,https://www.imdb.com/title/tt1411250/,Action|Adventure|Sci-Fi,0.53
Battle Beyond the Stars,Action|Adventure|Sci-Fi,https://www.imdb.com/title/tt0080421/,The Last Starfighter,https://www.imdb.com/title/tt0087597/,Action|Adventure|Sci-Fi,0.519
The Big Red One,Drama|War,https://www.imdb.com/title/tt0080437/,The Book Thief,https://www.imdb.com/title/tt0816442/,Drama|War,0.528
The Big Red One,Drama|War,https://www.imdb.com/title/tt0080437/,Au revoir les enfants,https://www.imdb.com/title/tt0092593/,Drama|War,0.516
The Big Red One,Drama|War,https://www.imdb.com/title/tt0080437/,Das Boot,https://www.imdb.com/title/tt0082096/,Drama|War,0.501
The Big Red One,Drama|War,https://www.imdb.com/title/tt0080437/,Guizi lai le,https://www.imdb.com/title/tt0245929/,Comedy|Drama|War,0.495
The Big Red One,Drama|War,https://www.imdb.com/title/tt0080437/,Empire of the Sun,https://www.imdb.com/title/tt0092965/,Drama|War,0.485
Il bisbetico domato,Comedy|Romance,https://www.imdb.com/title/tt0080439/,Lajanje na zvezde,https://www.imdb.com/title/tt0187231/,Comedy|Romance,0.442
Il bisbetico domato,Comedy|Romance,https://www.imdb.com/title/tt0080439/,John Tucker Must Die,https://www.imdb.com/title/tt0455967/,Comedy|Romance,0.434
Il bisbetico domato,Comedy|Romance,https://www.imdb.com/title/tt0080439/,Valley Girl,https://www.imdb.com/title/tt0086525/,Comedy|Romance,0.411
Il bisbetico domato,Comedy|Romance,https://www.imdb.com/title/tt0080439/,Nuvvu Naaku Nachchav,https://www.imdb.com/title/tt0311594/,Comedy|Romance,0.404
Il bisbetico domato,Comedy|Romance,https://www.imdb.com/title/tt0080439/,Roxanne,https://www.imdb.com/title/tt0093886/,Comedy|Romance,0.4
The Blue Lagoon,Adventure|Drama|Romance,https://www.imdb.com/title/tt0080453/,The Beach,https://www.imdb.com/title/tt0163978/,Adventure|Drama|Romance,0.526
The Blue Lagoon,Adventure|Drama|Romance,https://www.imdb.com/title/tt0080453/,Cast Away,https://www.imdb.com/title/tt0162222/,Adventure|Drama|Romance,0.507
The Blue Lagoon,Adventure|Drama|Romance,https://www.imdb.com/title/tt0080453/,Nasha,https://www.imdb.com/title/tt3044882/,Drama|Romance,0.478
The Blue Lagoon,Adventure|Drama|Romance,https://www.imdb.com/title/tt0080453/,Spaceman,https://www.imdb.com/title/tt11097384/,Adventure|Drama|Romance,0.474
The Blue Lagoon,Adventure|Drama|Romance,https://www.imdb.com/title/tt0080453/,Charlie,https://www.imdb.com/title/tt5082014/,Adventure|Drama|Romance,0.473
The Blues Brothers,Adventure|Comedy|Crime,https://www.imdb.com/title/tt0080455/,"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,Adventure|Comedy|Crime,0.47
The Blues Brothers,Adventure|Comedy|Crime,https://www.imdb.com/title/tt0080455/,Dope,https://www.imdb.com/title/tt3850214/,Adventure|Comedy|Crime,0.459
The Blues Brothers,Adventure|Comedy|Crime,https://www.imdb.com/title/tt0080455/,Bachelor Night,https://www.imdb.com/title/tt3797142/,Adventure|Comedy|Crime,0.457
The Blues Brothers,Adventure|Comedy|Crime,https://www.imdb.com/title/tt0080455/,Adventures in Babysitting,https://www.imdb.com/title/tt0092513/,Adventure|Comedy|Crime,0.454
The Blues Brothers,Adventure|Comedy|Crime,https://www.imdb.com/title/tt0080455/,Chronicle,https://www.imdb.com/title/tt1706593/,Adventure|Comedy|Crime,0.454
Bronco Billy,Action|Adventure|Comedy,https://www.imdb.com/title/tt0080472/,Space Cowboys,https://www.imdb.com/title/tt0186566/,Action|Adventure|Thriller,0.57
Bronco Billy,Action|Adventure|Comedy,https://www.imdb.com/title/tt0080472/,Any Which Way You Can,https://www.imdb.com/title/tt0080377/,Action|Comedy,0.53
Bronco Billy,Action|Adventure|Comedy,https://www.imdb.com/title/tt0080472/,Crocodile Dundee II,https://www.imdb.com/title/tt0092493/,Action|Adventure|Comedy,0.519
Bronco Billy,Action|Adventure|Comedy,https://www.imdb.com/title/tt0080472/,The Golden Child,https://www.imdb.com/title/tt0091129/,Action|Adventure|Comedy,0.51
Bronco Billy,Action|Adventure|Comedy,https://www.imdb.com/title/tt0080472/,Firefox,https://www.imdb.com/title/tt0083943/,Action|Adventure|Thriller,0.509
Brubaker,Crime|Drama,https://www.imdb.com/title/tt0080474/,Prince of the City,https://www.imdb.com/title/tt0082945/,Crime|Drama,0.451
Brubaker,Crime|Drama,https://www.imdb.com/title/tt0080474/,Celda 211,https://www.imdb.com/title/tt1242422/,Action|Crime|Drama,0.431
Brubaker,Crime|Drama,https://www.imdb.com/title/tt0080474/,Ardh Satya,https://www.imdb.com/title/tt0085178/,Crime|Drama,0.431
Brubaker,Crime|Drama,https://www.imdb.com/title/tt0080474/,Jawan,https://www.imdb.com/title/tt15354916/,Action|Crime|Drama,0.431
Brubaker,Crime|Drama,https://www.imdb.com/title/tt0080474/,Brawl in Cell Block 99,https://www.imdb.com/title/tt5657856/,Crime|Drama|Thriller,0.421
Caddyshack,Comedy|Sport,https://www.imdb.com/title/tt0080487/,Who's Your Caddy?,https://www.imdb.com/title/tt0785077/,Comedy|Sport,0.527
Caddyshack,Comedy|Sport,https://www.imdb.com/title/tt0080487/,Caddyshack II,https://www.imdb.com/title/tt0094824/,Comedy|Sport,0.493
Caddyshack,Comedy|Sport,https://www.imdb.com/title/tt0080487/,1UP,https://www.imdb.com/title/tt13487922/,Comedy|Sport,0.401
Caddyshack,Comedy|Sport,https://www.imdb.com/title/tt0080487/,Semi-Pro,https://www.imdb.com/title/tt0839980/,Comedy|Sport,0.401
Caddyshack,Comedy|Sport,https://www.imdb.com/title/tt0080487/,Blades of Glory,https://www.imdb.com/title/tt0445934/,Comedy|Sport,0.397
The Changeling,Horror|Mystery,https://www.imdb.com/title/tt0080516/,April Fool's Day,https://www.imdb.com/title/tt0090655/,Horror|Mystery,0.426
The Changeling,Horror|Mystery,https://www.imdb.com/title/tt0080516/,Hide and Seek,https://www.imdb.com/title/tt0382077/,Horror|Mystery,0.411
The Changeling,Horror|Mystery,https://www.imdb.com/title/tt0080516/,The Mothman Prophecies,https://www.imdb.com/title/tt0265349/,Drama|Horror|Mystery,0.41
The Changeling,Horror|Mystery,https://www.imdb.com/title/tt0080516/,Bodies Bodies Bodies,https://www.imdb.com/title/tt8110652/,Comedy|Horror|Mystery,0.401
The Changeling,Horror|Mystery,https://www.imdb.com/title/tt0080516/,The Ring,https://www.imdb.com/title/tt0298130/,Horror|Mystery,0.399
Cheech and Chong's Next Movie,Comedy|Crime,https://www.imdb.com/title/tt0080520/,Dabangg 3,https://www.imdb.com/title/tt7059844/,Action|Comedy|Crime,0.4
Cheech and Chong's Next Movie,Comedy|Crime,https://www.imdb.com/title/tt0080520/,The Blues Brothers,https://www.imdb.com/title/tt0080455/,Adventure|Comedy|Crime,0.4
Cheech and Chong's Next Movie,Comedy|Crime,https://www.imdb.com/title/tt0080520/,Let's Be Cops,https://www.imdb.com/title/tt1924435/,Action|Comedy|Crime,0.399
Cheech and Chong's Next Movie,Comedy|Crime,https://www.imdb.com/title/tt0080520/,48 Hrs.,https://www.imdb.com/title/tt0083511/,Action|Comedy|Crime,0.397
Cheech and Chong's Next Movie,Comedy|Crime,https://www.imdb.com/title/tt0080520/,Police Academy 4: Citizens on Patrol,https://www.imdb.com/title/tt0093756/,Comedy|Crime,0.397
Coal Miner's Daughter,Biography|Drama|Music,https://www.imdb.com/title/tt0080549/,Rembetiko,https://www.imdb.com/title/tt0086182/,Biography|Drama|Music,0.598
Coal Miner's Daughter,Biography|Drama|Music,https://www.imdb.com/title/tt0080549/,La Môme,https://www.imdb.com/title/tt0450188/,Biography|Drama|Music,0.58
Coal Miner's Daughter,Biography|Drama|Music,https://www.imdb.com/title/tt0080549/,Elvis,https://www.imdb.com/title/tt3704428/,Biography|Drama|Music,0.579
Coal Miner's Daughter,Biography|Drama|Music,https://www.imdb.com/title/tt0080549/,Walk the Line,https://www.imdb.com/title/tt0358273/,Biography|Drama|Music,0.559
Coal Miner's Daughter,Biography|Drama|Music,https://www.imdb.com/title/tt0080549/,Wild Rose,https://www.imdb.com/title/tt5117428/,Drama|Music,0.556
Cruising,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080569/,88 Minutes,https://www.imdb.com/title/tt0411061/,Crime|Drama|Mystery,0.572
Cruising,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080569/,Drishyam,https://www.imdb.com/title/tt3417422/,Crime|Drama|Mystery,0.531
Cruising,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080569/,Solace,https://www.imdb.com/title/tt1291570/,Crime|Drama|Mystery,0.525
Cruising,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080569/,The Long Good Friday,https://www.imdb.com/title/tt0081070/,Crime|Drama|Mystery,0.513
Cruising,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080569/,Mr. Brooks,https://www.imdb.com/title/tt0780571/,Crime|Drama|Mystery,0.512
Le dernier métro,Drama|Romance|War,https://www.imdb.com/title/tt0080610/,Zwartboek,https://www.imdb.com/title/tt0389557/,Drama|Thriller|War,0.491
Le dernier métro,Drama|Romance|War,https://www.imdb.com/title/tt0080610/,Petrijin venac,https://www.imdb.com/title/tt0081331/,Drama|Romance|War,0.482
Le dernier métro,Drama|Romance|War,https://www.imdb.com/title/tt0080610/,The Year of Living Dangerously,https://www.imdb.com/title/tt0086617/,Drama|Romance|War,0.467
Le dernier métro,Drama|Romance|War,https://www.imdb.com/title/tt0080610/,Dear John,https://www.imdb.com/title/tt0989757/,Drama|Romance|War,0.465
Le dernier métro,Drama|Romance|War,https://www.imdb.com/title/tt0080610/,Malèna,https://www.imdb.com/title/tt0213847/,Drama|Romance|War,0.462
The Dogs of War,Action|Adventure|Drama,https://www.imdb.com/title/tt0080641/,Mercenaries,https://www.imdb.com/title/tt1728979/,Action|Drama,0.509
The Dogs of War,Action|Adventure|Drama,https://www.imdb.com/title/tt0080641/,San Andreas Quake,https://www.imdb.com/title/tt4547120/,Action|Adventure|Drama,0.495
The Dogs of War,Action|Adventure|Drama,https://www.imdb.com/title/tt0080641/,The Emerald Forest,https://www.imdb.com/title/tt0089087/,Action|Adventure|Drama,0.489
The Dogs of War,Action|Adventure|Drama,https://www.imdb.com/title/tt0080641/,Enemy Mine,https://www.imdb.com/title/tt0089092/,Action|Adventure|Drama,0.472
The Dogs of War,Action|Adventure|Drama,https://www.imdb.com/title/tt0080641/,The Legend of Tarzan,https://www.imdb.com/title/tt0918940/,Action|Adventure|Drama,0.47
Dressed to Kill,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080661/,Black Widow,https://www.imdb.com/title/tt0090738/,Crime|Drama|Mystery,0.537
Dressed to Kill,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080661/,Blow Out,https://www.imdb.com/title/tt0082085/,Crime|Drama|Mystery,0.525
Dressed to Kill,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080661/,Side Effects,https://www.imdb.com/title/tt2053463/,Crime|Drama|Mystery,0.5
Dressed to Kill,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080661/,Drishyam,https://www.imdb.com/title/tt3417422/,Crime|Drama|Mystery,0.5
Dressed to Kill,Crime|Drama|Mystery,https://www.imdb.com/title/tt0080661/,Body Double,https://www.imdb.com/title/tt0086984/,Crime|Drama|Mystery,0.496
The Elephant Man,Biography|Drama,https://www.imdb.com/title/tt0080678/,Hitchcock,https://www.imdb.com/title/tt0975645/,Biography|Drama|Romance,0.43
The Elephant Man,Biography|Drama,https://www.imdb.com/title/tt0080678/,One Life,https://www.imdb.com/title/tt13097932/,Biography|Drama|History,0.429
The Elephant Man,Biography|Drama,https://www.imdb.com/title/tt0080678/,The Two Popes,https://www.imdb.com/title/tt8404614/,Biography|Drama,0.428
The Elephant Man,Biography|Drama,https://www.imdb.com/title/tt0080678/,The Founder,https://www.imdb.com/title/tt4276820/,Biography|Drama,0.419
The Elephant Man,Biography|Drama,https://www.imdb.com/title/tt0080678/,The Social Network,https://www.imdb.com/title/tt1285016/,Biography|Drama,0.417
Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Fantasy,https://www.imdb.com/title/tt0080684/,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,Action|Adventure|Fantasy,0.704
Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Fantasy,https://www.imdb.com/title/tt0080684/,Avatar,https://www.imdb.com/title/tt0499549/,Action|Adventure|Fantasy,0.546
Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Fantasy,https://www.imdb.com/title/tt0080684/,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,Action|Adventure|Fantasy,0.532
Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Fantasy,https://www.imdb.com/title/tt0080684/,Doctor Strange,https://www.imdb.com/title/tt1211837/,Action|Adventure|Fantasy,0.513
Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Fantasy,https://www.imdb.com/title/tt0080684/,Star Wars: Episode II - Attack of the Clones,https://www.imdb.com/title/tt0121765/,Action|Adventure|Fantasy,0.512
Fame,Drama|Music|Musical,https://www.imdb.com/title/tt0080716/,A Chorus Line,https://www.imdb.com/title/tt0088915/,Drama|Music|Musical,0.535
Fame,Drama|Music|Musical,https://www.imdb.com/title/tt0080716/,Burlesque,https://www.imdb.com/title/tt1126591/,Drama|Music|Musical,0.511
Fame,Drama|Music|Musical,https://www.imdb.com/title/tt0080716/,Sagara Sangamam,https://www.imdb.com/title/tt0086231/,Drama|Music|Musical,0.492
Fame,Drama|Music|Musical,https://www.imdb.com/title/tt0080716/,Once,https://www.imdb.com/title/tt0907657/,Drama|Music|Musical,0.486
